SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER,FACE VALUE
AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-2020,INE087Z01016,10
AARON,Aaron Industries Limited,EQ,06-Nov-2020,INE721Z01010,10
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-2003,INE767A01016,10
AARTIIND,Aarti Industries Limited,EQ,08-Feb-1995,INE769A01020,5
AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-2020,INE09EO01013,10
AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-Nov-2006,INE273D01019,10
AARVI,Aarvi Encon Limited,EQ,24-Jun-2020,INE754X01016,10
AAVAS,Aavas Financiers Limited,EQ,08-Oct-2018,INE216P01012,10
ABAN,Aban Offshore Limited,EQ,29-Mar-1995,INE421A01028,2
ABB,ABB India Limited,EQ,08-Feb-1995,INE117A01022,2
ABBOTINDIA,Abbott India Limited,EQ,08-Jan-2010,INE358A01014,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-Sep-2017,INE674K01013,10
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-2013,INE647O01011,10
ACC,ACC Limited,EQ,20-Nov-1996,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,EQ,01-Dec-1999,INE793A01012,10
ACCURACY,Accuracy Shipping Limited,EQ,11-Dec-2020,INE648Z01015,10
ACE,Action Construction Equipment Limited,EQ,26-Sep-2006,INE731H01025,2
ACRYSIL,Acrysil Limited,EQ,14-Jan-2021,INE482D01024,2
ADANIENT,Adani Enterprises Limited,EQ,04-Jun-1997,INE423A01024,1
ADANIGREEN,Adani Green Energy Limited,BE,18-Jun-2018,INE364U01010,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-2007,INE742F01042,2
ADANIPOWER,Adani Power Limited,BE,20-Aug-2009,INE814H01011,10
ADANITRANS,Adani Transmission Limited,BE,31-Jul-2015,INE931S01010,10
ADFFOODS,ADF Foods Limited,EQ,15-Sep-2010,INE982B01019,10
ADL,Archidply Decor Limited,BE,01-Oct-2020,INE0CHO01012,10
ADORWELD,Ador Welding Limited,EQ,10-May-1995,INE045A01017,10
ADROITINFO,Adroit Infotech Limited,BE,13-Aug-1997,INE737B01033,10
ADSL,Allied Digital Services Limited,EQ,25-Jul-2007,INE102I01027,5
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-Jun-2007,INE199C01026,2
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-Aug-2016,INE837H01020,2
AEGISCHEM,Aegis Logistics Limited,EQ,03-Apr-1996,INE208C01025,1
AFFLE,Affle (India) Limited,BE,08-Aug-2019,INE00WC01019,10
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-May-2014,INE204E01012,10
AGCNET,AGC Networks Limited,BE,22-Jul-2003,INE676A01019,10
AGRITECH,Agri-Tech (India) Limited,EQ,28-Jan-2014,INE449G01018,10
AGROPHOS,Agro Phos India Limited,EQ,08-Mar-2019,INE740V01019,10
AHLADA,Ahlada Engineers Limited,EQ,28-Jan-2021,INE00PV01013,10
AHLEAST,Asian Hotels (East) Limited,EQ,11-Aug-2010,INE926K01017,10
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-Dec-2009,INE758C01029,2
AHLWEST,Asian Hotels (West) Limited,EQ,05-Aug-2010,INE915K01010,10
AIAENG,AIA Engineering Limited,EQ,14-Dec-2005,INE212H01026,2
AIRAN,Airan Limited,BE,03-May-2019,INE645W01026,2
AJANTPHARM,Ajanta Pharma Limited,EQ,29-May-2000,INE031B01049,2
AJMERA,Ajmera Realty & Infra India Limited,BE,16-Jun-2009,INE298G01027,10
AJOONI,Ajooni Biotech Limited,EQ,07-May-2021,INE820Y01013,10
AKASH,Akash Infra-Projects Limited,EQ,11-Oct-2019,INE737W01013,10
AKG,Akg Exim Limited,EQ,16-Feb-2021,INE00Y801016,10
AKSHARCHEM,AksharChem India Limited,EQ,28-Mar-2017,INE542B01011,10
AKSHOPTFBR,Aksh Optifibre Limited,BE,18-Aug-2000,INE523B01011,5
AKZOINDIA,Akzo Nobel India Limited,EQ,28-Jun-2001,INE133A01011,10
ALANKIT,Alankit Limited,EQ,30-Jun-2015,INE914E01040,1
ALBERTDAVD,Albert David Limited,EQ,14-Jun-2016,INE155C01010,10
ALEMBICLTD,Alembic Limited,EQ,22-Sep-1999,INE426A01027,2
ALICON,Alicon Castalloy Limited,EQ,29-Sep-2006,INE062D01024,5
ALKALI,Alkali Metals Limited,EQ,06-Nov-2008,INE773I01017,10
ALKEM,Alkem Laboratories Limited,EQ,23-Dec-2015,INE540L01014,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-Nov-2007,INE150B01039,2
ALLCARGO,Allcargo Logistics Limited,EQ,23-Jun-2006,INE418H01029,2
ALLSEC,Allsec Technologies Limited,EQ,09-May-2005,INE835G01018,10
ALMONDZ,Almondz Global Securities Limited,EQ,16-Jun-2008,INE326B01027,6
ALOKINDS,Alok Industries Limited,EQ,19-Feb-2020,INE270A01029,1
ALPA,Alpa Laboratories Limited,EQ,06-Aug-2007,INE385I01010,10
ALPHAGEO,Alphageo (India) Limited,EQ,11-May-2007,INE137C01018,10
ALPSINDUS,Alps Industries Limited,BE,24-Apr-1996,INE093B01015,10
AMARAJABAT,Amara Raja Batteries Limited,EQ,05-Sep-2003,INE885A01032,1
